Methodname	Attribute	ArgumentType
onFocus	onfocus	Microsoft.AspNetCore.Components.Web.FocusEventArgs
onBlur	onblur	Microsoft.AspNetCore.Components.Web.FocusEventArgs
onFocusIn	onfocusin	Microsoft.AspNetCore.Components.Web.FocusEventArgs
onFocusOut	onfocusout	Microsoft.AspNetCore.Components.Web.FocusEventArgs
onMouseOver	onmouseover	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onMouseOut	onmouseout	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onMouseLeave	onmouseleave	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onMouseEnter	onmouseenter	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onMouseMove	onmousemove	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onMouseDown	onmousedown	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onMouseUp	onmouseup	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onClick	onclick	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onDblClick	ondblclick	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onWheel	onwheel	Microsoft.AspNetCore.Components.Web.WheelEventArgs
onMouseWheel	onmousewheel	Microsoft.AspNetCore.Components.Web.WheelEventArgs
onContextMenu	oncontextmenu	Microsoft.AspNetCore.Components.Web.MouseEventArgs
onDrag	ondrag	Microsoft.AspNetCore.Components.Web.DragEventArgs
onDragEnd	ondragend	Microsoft.AspNetCore.Components.Web.DragEventArgs
onDragEnter	ondragenter	Microsoft.AspNetCore.Components.Web.DragEventArgs
onDragLeave	ondragleave	Microsoft.AspNetCore.Components.Web.DragEventArgs
onDragOver	ondragover	Microsoft.AspNetCore.Components.Web.DragEventArgs
onDragStart	ondragstart	Microsoft.AspNetCore.Components.Web.DragEventArgs
onDrop	ondrop	Microsoft.AspNetCore.Components.Web.DragEventArgs
onKeyDown	onkeydown	Microsoft.AspNetCore.Components.Web.KeyboardEventArgs
onKeyUp	onkeyup	Microsoft.AspNetCore.Components.Web.KeyboardEventArgs
onKeyPress	onkeypress	Microsoft.AspNetCore.Components.Web.KeyboardEventArgs
onChange	onchange	Microsoft.AspNetCore.Components.ChangeEventArgs
onInput	oninput	Microsoft.AspNetCore.Components.ChangeEventArgs
onInvalid	oninvalid	System.EventArgs
onReset	onreset	System.EventArgs
onSelect	onselect	System.EventArgs
onSelectStart	onselectstart	System.EventArgs
onSelectionChange	onselectionchange	System.EventArgs
onSubmit	onsubmit	System.EventArgs
onBeforeCopy	onbeforecopy	System.EventArgs
onBeforeCut	onbeforecut	System.EventArgs
onBeforePaste	onbeforepaste	System.EventArgs
onCopy	oncopy	Microsoft.AspNetCore.Components.Web.ClipboardEventArgs
onCut	oncut	Microsoft.AspNetCore.Components.Web.ClipboardEventArgs
onPaste	onpaste	Microsoft.AspNetCore.Components.Web.ClipboardEventArgs
onTouchCancel	ontouchcancel	Microsoft.AspNetCore.Components.Web.TouchEventArgs
onTouchEnd	ontouchend	Microsoft.AspNetCore.Components.Web.TouchEventArgs
onTouchMove	ontouchmove	Microsoft.AspNetCore.Components.Web.TouchEventArgs
onTouchStart	ontouchstart	Microsoft.AspNetCore.Components.Web.TouchEventArgs
onTouchEnter	ontouchenter	Microsoft.AspNetCore.Components.Web.TouchEventArgs
onTouchLeave	ontouchleave	Microsoft.AspNetCore.Components.Web.TouchEventArgs
onGotPointerCapture	ongotpointercapture	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onLostPointerCapture	onlostpointercapture	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerCancel	onpointercancel	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerDown	onpointerdown	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerEnter	onpointerenter	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerLeave	onpointerleave	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerMove	onpointermove	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerOut	onpointerout	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerOver	onpointerover	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onPointerUp	onpointerup	Microsoft.AspNetCore.Components.Web.PointerEventArgs
onCanPlay	oncanplay	System.EventArgs
onCanPlayThrough	oncanplaythrough	System.EventArgs
onCueChange	oncuechange	System.EventArgs
onDurationChange	ondurationchange	System.EventArgs
onEmptied	onemptied	System.EventArgs
onPause	onpause	System.EventArgs
onPlay	onplay	System.EventArgs
onPlaying	onplaying	System.EventArgs
onRateChange	onratechange	System.EventArgs
onSeeked	onseeked	System.EventArgs
onSeeking	onseeking	System.EventArgs
onStalled	onstalled	System.EventArgs
onStop	onstop	System.EventArgs
onSuspend	onsuspend	System.EventArgs
onTimeUpdate	ontimeupdate	System.EventArgs
onVolumeChange	onvolumechange	System.EventArgs
onWaiting	onwaiting	System.EventArgs
onLoadStart	onloadstart	Microsoft.AspNetCore.Components.Web.ProgressEventArgs
onTimeout	ontimeout	Microsoft.AspNetCore.Components.Web.ProgressEventArgs
onAbort	onabort	Microsoft.AspNetCore.Components.Web.ProgressEventArgs
onLoad	onload	Microsoft.AspNetCore.Components.Web.ProgressEventArgs
onLoadEnd	onloadend	Microsoft.AspNetCore.Components.Web.ProgressEventArgs
onProgress	onprogress	Microsoft.AspNetCore.Components.Web.ProgressEventArgs
onError	onerror	Microsoft.AspNetCore.Components.Web.ErrorEventArgs
onActivate	onactivate	System.EventArgs
onBeforeActivate	onbeforeactivate	System.EventArgs
onBeforeDeactivate	onbeforedeactivate	System.EventArgs
onDeactivate	ondeactivate	System.EventArgs
onEnded	onended	System.EventArgs
onFullscreenChange	onfullscreenchange	System.EventArgs
onFullscreenError	onfullscreenerror	System.EventArgs
onLoadedData	onloadeddata	System.EventArgs
onLoadedMetadata	onloadedmetadata	System.EventArgs
onPointerLockChange	onpointerlockchange	System.EventArgs
onPointerLockError	onpointerlockerror	System.EventArgs
onReadyStateChange	onreadystatechange	System.EventArgs
onScroll	onscroll	System.EventArgs
onToggle	ontoggle	System.EventArgs
onCancel	oncancel	System.EventArgs
onClose	onclose	System.EventArgs
